dataset,model,n,mmd_mean,mmd_std,sliced_wasserstein_mean,sliced_wasserstein_std,precision_mean,precision_std,coverage_mean,coverage_std,support_coverage_mean,support_coverage_std,train_time_sec_mean,train_time_sec_std
gaussian_mixture,conditional_ddpm,3,0.0013646682103474934,9.553146824783003e-05,0.08681496090462282,0.006798141796996905,0.5105,0.05488624600025038,0.9365,0.013347908700117251,0.903618405095111,0.0315027669848942,2.6413063208262124,0.31441984822397534
ring,conditional_ddpm,3,0.0024390220642089844,0.0018600676199373191,0.08588544910406383,0.03178856754278045,0.9199999999999999,0.010230672835481881,0.9831666666666666,0.0023921166824012485,0.8953363300090489,0.006248656090460906,2.6413063208262124,0.31441984822397534
two_moons,conditional_ddpm,3,0.0018893877665201824,0.001007085314841013,0.08418974049555872,0.019626819211094867,0.7753333333333333,0.017987650084309404,0.9705,0.0021602468994692888,0.8424595379345728,0.012577279650390459,2.6413063208262124,0.31441984822397534
spiral,conditional_ddpm,3,0.002817988395690918,0.001030150757180855,0.1062349442194908,0.018243416357991957,0.7198333333333333,0.01311699491330068,0.9376666666666668,0.011549410759380261,0.7424942629142048,0.025080389245085776,2.6413063208262124,0.31441984822397534
