dataset,model,seed,mmd,sliced_wasserstein,precision,coverage,support_coverage,nll,radius,train_time_sec
two_moons,kde,1,0.00024931653376336627,0.0309530800646725,0.968,0.9845,0.8841463414634146,1.6833281142076308,0.08661202589394333,0.25417590141296387
two_moons,gmm,1,0.00011899627815381564,0.023753306274825955,0.981,0.98,0.8272357723577236,1.6632337961543526,0.08661202589394333,0.1263129711151123
two_moons,vae,1,0.007923722267150879,0.16785076416495487,0.5095,0.942,0.7540650406504065,,0.08661202589394333,0.5635318756103516
two_moons,ddpm,1,0.0022350549697875977,0.08819415265644096,0.85,0.975,0.8495934959349594,,0.08661202589394333,2.4570658206939697
two_moons,kde,2,0.0001501306168172345,0.030116904245822522,0.9745,0.9855,0.8724696356275303,1.6406175769467986,0.0851053809113258,0.2553441524505615
two_moons,gmm,2,0.0002302684950861167,0.028857141756092743,0.9795,0.9775,0.8421052631578947,1.620110339562749,0.0851053809113258,0.10872197151184082
two_moons,vae,2,0.00500941276550293,0.1446564691266463,0.5475,0.936,0.8097165991902834,,0.0851053809113258,0.6875400543212891
two_moons,ddpm,2,0.000544428825378418,0.04930360911285118,0.8455,0.9705,0.8178137651821862,,0.0851053809113258,1.9169068336486816
spiral,kde,0,0.0006080131502779196,0.04949094188950855,0.9535,0.9915,0.851138353765324,2.1309586961370264,0.11013366086125453,0.2457122802734375
spiral,gmm,0,0.0007253571999343844,0.0537983468302872,0.8225,0.9585,0.7495621716287215,2.527145359164965,0.11013366086125453,0.2007458209991455
spiral,vae,0,0.0010046958923339844,0.08050991182694336,0.694,0.902,0.6865148861646234,,0.11013366086125453,0.5212578773498535
spiral,ddpm,0,0.0009281635284423828,0.076645390777277,0.7045,0.9345,0.7530647985989493,,0.11013366086125453,1.808129072189331
spiral,kde,1,0.0002868027720639432,0.03590597876856097,0.954,0.994,0.84,2.1683910555378896,0.11441380515409107,0.25518369674682617
spiral,gmm,1,0.00044823217136658045,0.05425530186010862,0.805,0.948,0.7581818181818182,2.535157564909661,0.11441380515409107,0.2342510223388672
spiral,vae,1,0.0008512735366821289,0.0696492721691512,0.733,0.9155,0.7072727272727273,,0.11441380515409107,0.7199270725250244
spiral,ddpm,1,0.0008182525634765625,0.07961148430757717,0.7385,0.962,0.78,,0.11441380515409107,2.1128339767456055
spiral,kde,2,0.00027781631973655685,0.03622911965614228,0.957,0.9875,0.8152753108348135,2.1135510126385046,0.11279471511644375,0.25318098068237305
spiral,gmm,2,0.000294133716543854,0.042543628704188055,0.7825,0.9575,0.7193605683836589,2.517649353738894,0.11279471511644375,0.19212889671325684
spiral,vae,2,0.00018167495727539062,0.0695681001418336,0.7215,0.9255,0.7353463587921847,,0.11279471511644375,0.7243399620056152
spiral,ddpm,2,0.0004609823226928711,0.07679787630869242,0.699,0.945,0.7460035523978685,,0.11279471511644375,2.098066806793213
