dataset,model,seed,outlier_rate,mmd,sliced_wasserstein,precision,coverage,support_coverage,nll,radius,train_time_sec
gaussian_mixture,gmm,0,0.15,0.0017735764247950314,0.09354375637011735,0.8535,0.9555,0.7725118483412322,0.20485382111691464,0.03792068592419278,0.15774822235107422
gaussian_mixture,vae,0,0.15,0.001462101936340332,0.24154963194674892,0.08,0.391,0.6161137440758294,,0.03792068592419278,0.4781026840209961
gaussian_mixture,ddpm,0,0.15,0.0018500089645385742,0.2253473253338109,0.1005,0.4435,0.6492890995260664,,0.03792068592419278,1.08548903465271
ring,kde,0,0.0,0.0008073624320414918,0.04931854538856913,0.9685,0.9905,0.8813953488372093,1.1857500316222913,0.06742767499213266,0.17742586135864258
ring,gmm,0,0.0,0.00010918410168403447,0.023558778839244544,0.988,0.9845,0.8488372093023255,1.1613784023727072,0.06742767499213266,0.10649514198303223
ring,vae,0,0.0,0.0093536376953125,0.20301623597726925,0.348,0.8965,0.7488372093023256,,0.06742767499213266,0.31718897819519043
ring,ddpm,0,0.0,0.0010547637939453125,0.05566492520448521,0.945,0.9965,0.9279069767441861,,0.06742767499213266,1.089365005493164
ring,kde,0,0.03,0.0006374489747817957,0.062345359527754475,0.8135,0.996,0.9395348837209302,1.4179775066029274,0.06742767499213266,0.20161700248718262
ring,gmm,0,0.03,0.0007120041411396993,0.06095734556949535,0.954,0.988,0.8883720930232558,1.2078224186600566,0.06742767499213266,0.1526792049407959
ring,vae,0,0.03,0.003485441207885742,0.22685843521679955,0.251,0.8295,0.6697674418604651,,0.06742767499213266,0.31728625297546387
ring,ddpm,0,0.03,0.00033974647521972656,0.04402088430048638,0.821,0.9965,0.9534883720930233,,0.06742767499213266,1.133263111114502
ring,kde,0,0.08,0.002030301807784296,0.10490975459501198,0.848,0.993,0.9186046511627907,1.3272767898287368,0.06742767499213266,0.25513505935668945
ring,gmm,0,0.08,0.0014631590990099586,0.08779859528708547,0.9025,0.9855,0.8930232558139535,1.2711725430795682,0.06742767499213266,0.17999982833862305
ring,vae,0,0.08,0.002562999725341797,0.22338147921287282,0.2705,0.8405,0.6883720930232559,,0.06742767499213266,0.3700389862060547
ring,ddpm,0,0.08,0.0017349720001220703,0.1071084559506694,0.4895,0.971,0.8697674418604651,,0.06742767499213266,1.168940782546997
ring,kde,0,0.15,0.003977943164662934,0.14630449153111502,0.727,0.9945,0.9395348837209302,1.516988754568078,0.06742767499213266,0.23618721961975098
ring,gmm,0,0.15,0.0016552774510796286,0.0924489118243902,0.859,0.9865,0.8790697674418605,1.3273063640565457,0.06742767499213266,0.2366960048675537
ring,vae,0,0.15,0.001239776611328125,0.22515802500375387,0.2335,0.81,0.627906976744186,,0.06742767499213266,0.48897814750671387
ring,ddpm,0,0.15,0.0014306306838989258,0.1967921842409281,0.2585,0.841,0.6255813953488372,,0.06742767499213266,1.466660737991333
two_moons,kde,0,0.0,0.0006859256612636866,0.04291161863637977,0.9635,0.989,0.8744939271255061,1.6482760566395378,0.08453389983845119,0.36904191970825195
