dataset,model,seed,mmd,sliced_wasserstein,precision,coverage,support_coverage,nll,radius,train_time_sec
ring,vae,1,0.011406183242797852,0.17980795630864627,0.5566666666666666,0.9555555555555556,0.6161290322580645,,0.09511171950059595,0.6065196990966797
ring,ddpm,1,0.002518892288208008,0.08961937034998874,0.96,0.9911111111111112,0.8354838709677419,,0.09511171950059595,2.394876003265381
ring,kde,2,0.00032809596643312844,0.04586876551716238,0.9688888888888889,0.9866666666666667,0.8018575851393189,1.066496661547275,0.09222849709604519,0.05832481384277344
ring,gmm,2,0.0014816560151387215,0.07138201770714589,0.98,0.9766666666666667,0.7523219814241486,1.0592906294075919,0.09222849709604519,0.0882561206817627
ring,vae,2,0.010518789291381836,0.1736795537011921,0.5655555555555556,0.95,0.6099071207430341,,0.09222849709604519,0.6327908039093018
ring,ddpm,2,0.0009312629699707031,0.06453618859212373,0.9522222222222222,0.9877777777777778,0.7987616099071208,,0.09222849709604519,2.1389870643615723
two_moons,kde,0,0.0006121725979260084,0.04736594542477958,0.96,0.9866666666666667,0.8296529968454258,1.3093893634405458,0.10671474112994857,0.06557106971740723
two_moons,gmm,0,0.00021669412747349348,0.03198665311025055,0.9777777777777777,0.9822222222222222,0.8012618296529969,1.2783026243194562,0.10671474112994857,0.09691286087036133
two_moons,vae,0,0.005527138710021973,0.15462571944785214,0.44222222222222224,0.9011111111111111,0.5425867507886435,,0.10671474112994857,0.5104219913482666
two_moons,ddpm,0,0.0003037452697753906,0.04297367233514576,0.8377777777777777,0.9766666666666667,0.7602523659305994,,0.10671474112994857,2.8852951526641846
two_moons,kde,1,0.0011043700212101104,0.058147326386111406,0.9777777777777777,0.9955555555555555,0.8042813455657493,1.3253465385340735,0.1114471672985964,0.06447601318359375
two_moons,gmm,1,0.00013358953179554156,0.02744202717857183,0.9888888888888889,0.99,0.7859327217125383,1.3203118791621349,0.1114471672985964,0.13412714004516602
two_moons,vae,1,0.006572246551513672,0.1548756997920284,0.42,0.8755555555555555,0.4801223241590214,,0.1114471672985964,0.9290323257446289
two_moons,ddpm,1,0.0034421682357788086,0.09925969340802378,0.8666666666666667,0.9822222222222222,0.7492354740061162,,0.1114471672985964,3.0633740425109863
two_moons,kde,2,0.0005796714942067904,0.04350905075143978,0.9733333333333334,0.9833333333333333,0.8165137614678899,1.294487292626477,0.10612387491454887,0.0664970874786377
two_moons,gmm,2,0.0012361448748305914,0.060133016070987484,0.9877777777777778,0.9877777777777778,0.7798165137614679,1.2440392806451928,0.10612387491454887,0.2600867748260498
two_moons,vae,2,0.0070792436599731445,0.15800403615145614,0.4444444444444444,0.9277777777777778,0.5504587155963303,,0.10612387491454887,0.5711848735809326
two_moons,ddpm,2,0.0004037618637084961,0.04434785890186427,0.8311111111111111,0.9733333333333334,0.746177370030581,,0.10612387491454887,2.598510980606079
spiral,kde,0,0.0020459840068443036,0.07980027450641403,0.9866666666666667,0.9933333333333333,0.6344339622641509,2.201258384297941,0.17582935863702231,0.17432618141174316
spiral,gmm,0,0.0014130389723141512,0.07860251972497934,0.9344444444444444,0.9633333333333334,0.5660377358490566,2.4710842561056343,0.17582935863702231,0.19857120513916016
