dataset,model,n,mmd_mean,mmd_std,sliced_wasserstein_mean,sliced_wasserstein_std,precision_mean,precision_std,coverage_mean,coverage_std,support_coverage_mean,support_coverage_std,train_time_sec_mean,train_time_sec_std
gaussian_mixture,conditional_ddpm,3,0.0019725958506266275,0.0005030976107180964,0.0943901330178143,0.0011506644106934049,0.5138333333333334,0.05593051244376562,0.9408333333333333,0.010726395273136024,0.9059641154490401,0.013339095188896463,2.6413063208262124,0.31441984822397534
ring,conditional_ddpm,3,0.0024813016255696616,0.0016292252392143634,0.08580735211078659,0.028763168041396326,0.9085000000000001,0.013272779161376393,0.9806666666666667,0.002392116682401197,0.8816090553828463,0.007741454348865597,2.6413063208262124,0.31441984822397534
two_moons,conditional_ddpm,3,0.0019197861353556316,0.0013873208235938498,0.08409246882632482,0.025152697529137794,0.7626666666666667,0.01799228229609077,0.9658333333333333,0.0027182510717167095,0.8334206260132185,0.012083331232936636,2.6413063208262124,0.31441984822397534
spiral,conditional_ddpm,3,0.003071268399556478,0.0005043625654878681,0.11068307559635515,0.009038668583498236,0.7293333333333334,0.012808417371227229,0.9375,0.01485485330343814,0.7394174940000017,0.036451060829988016,2.6413063208262124,0.31441984822397534
